epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8933.21,1.13417,0.56164,0.91613,0.77224,0.82016,0.83306,0.50752,1.16242,0.54157,0.96401,0.000945641,0.000945641,0.000945641
43,9145.74,1.12828,0.55778,0.91428,0.76727,0.81391,0.82549,0.50329,1.16664,0.54487,0.96322,0.000933851,0.000933851,0.000933851
44,9358.36,1.13107,0.54854,0.91337,0.7685,0.82234,0.8344,0.50941,1.17201,0.53667,0.97101,0.000922062,0.000922062,0.000922062
45,9571.29,1.13403,0.55224,0.91625,0.76774,0.8214,0.83061,0.51092,1.16525,0.53214,0.96466,0.000910273,0.000910273,0.000910273
46,9783.71,1.12225,0.54841,0.9133,0.78027,0.80991,0.82319,0.49937,1.18152,0.54869,0.96817,0.000898484,0.000898484,0.000898484
47,9996.23,1.1247,0.55084,0.91499,0.77956,0.82722,0.83717,0.51295,1.15949,0.52817,0.96094,0.000886694,0.000886694,0.000886694
48,10208.7,1.11947,0.54554,0.91134,0.77289,0.82124,0.82875,0.50502,1.18076,0.54434,0.96986,0.000874905,0.000874905,0.000874905
49,10421.2,1.12406,0.54317,0.91196,0.77853,0.8267,0.83349,0.50628,1.18703,0.54484,0.96578,0.000863116,0.000863116,0.000863116
50,10633.7,1.11823,0.54041,0.91049,0.7832,0.82638,0.83735,0.51794,1.15791,0.53136,0.95731,0.000851327,0.000851327,0.000851327
51,10846.6,1.11116,0.53934,0.90616,0.76873,0.83268,0.83794,0.51134,1.17514,0.54235,0.96686,0.000839537,0.000839537,0.000839537
52,11059.2,1.10995,0.53913,0.90646,0.78658,0.81435,0.83531,0.5162,1.15181,0.52617,0.95966,0.000827748,0.000827748,0.000827748
53,11271.7,1.11295,0.53872,0.91103,0.78652,0.82288,0.84203,0.51556,1.18624,0.52468,0.96747,0.000815959,0.000815959,0.000815959
54,11484.2,1.10971,0.53805,0.90737,0.7783,0.82719,0.84407,0.52123,1.15862,0.5241,0.9562,0.00080417,0.00080417,0.00080417
55,11696.9,1.1098,0.53664,0.90824,0.7941,0.81294,0.8357,0.51589,1.15708,0.52343,0.95757,0.00079238,0.00079238,0.00079238
56,11909.2,1.10267,0.52835,0.9054,0.78259,0.82683,0.83968,0.51549,1.16926,0.52769,0.96217,0.000780591,0.000780591,0.000780591
57,12121.8,1.10399,0.53212,0.90756,0.7869,0.82591,0.84373,0.51282,1.16908,0.52961,0.96617,0.000768802,0.000768802,0.000768802
58,12334.3,1.09666,0.5251,0.90445,0.77383,0.82086,0.82945,0.51498,1.1458,0.52629,0.95844,0.000757013,0.000757013,0.000757013
59,12546.7,1.10077,0.52548,0.90667,0.7765,0.82666,0.84378,0.52688,1.1363,0.51082,0.94903,0.000745223,0.000745223,0.000745223
60,12759.1,1.09777,0.52356,0.90627,0.78827,0.8334,0.8506,0.52717,1.14151,0.51229,0.95488,0.000733434,0.000733434,0.000733434
61,12971.8,1.08706,0.5199,0.90405,0.7812,0.83724,0.84754,0.52405,1.16274,0.51834,0.96253,0.000721645,0.000721645,0.000721645
62,13184.2,1.08845,0.5161,0.90458,0.79974,0.82822,0.84903,0.52463,1.15219,0.51415,0.95509,0.000709856,0.000709856,0.000709856
63,13396.9,1.08174,0.51556,0.90376,0.78799,0.82841,0.84614,0.52673,1.13548,0.50712,0.9504,0.000698066,0.000698066,0.000698066
64,13609.4,1.09172,0.52013,0.90487,0.79592,0.82946,0.84748,0.52469,1.14511,0.51607,0.95028,0.000686277,0.000686277,0.000686277
65,13821.8,1.08976,0.51692,0.90308,0.78181,0.83862,0.84783,0.52713,1.13743,0.51384,0.94973,0.000674488,0.000674488,0.000674488
66,14034.3,1.07936,0.51113,0.90194,0.79457,0.8334,0.85811,0.53483,1.13115,0.50549,0.94552,0.000662699,0.000662699,0.000662699
67,14246.9,1.07869,0.51464,0.90156,0.78794,0.83971,0.85899,0.5322,1.14341,0.50525,0.9555,0.000650909,0.000650909,0.000650909
68,14459,1.07323,0.5093,0.89984,0.79667,0.83466,0.85509,0.53697,1.12873,0.50324,0.951,0.00063912,0.00063912,0.00063912
